country,year,value
Madagascar,1997,55.5
Madagascar,1992,60.9
Malawi,2005,52.5
Malawi,2000,54.6
Malawi,1992,55.8
Maldives,2001,31.9
Maldives,1998,46.7
Maldives,1994,36.1
Mali,2006,38.5
Mali,2001,42.7
Mali,1996,36.2
Mali,1987,32.5
Mauritania,2001,39.5
Mexico,2006,15.5
Mexico,1999,21.7
Mexico,1989,40.4
Mongolia,2005,27.5
Mongolia,2004,23.5
Mongolia,2000,29.8
Mongolia,1999,30.1
Montenegro,2006,7.9
Morocco,2004,23.1
Morocco,1992,29.9
Morocco,1987,34.5
Mozambique,2003,47
Mozambique,1997,45.3
Myanmar,2003,40.6
Myanmar,2000,40.8
Namibia,2007,29.6
Namibia,2000,29.5
Namibia,1992,35.7
Nepal,2006,49.3
Nepal,2001,57.1
Nepal,1998,61.1
Nepal,1996,56.6
Nepal,1975,75
Netherlands,1980,1.8
Nicaragua,2001,25.2
Nicaragua,1998,28.3
Nicaragua,1993,29.6
Niger,2006,54.8
Niger,2000,54.2
Niger,1998,47
Niger,1992,48.3
Nigeria,2003,43
Nigeria,1990,50.5
Oman,1999,12.9
Oman,1995,21.4
Pakistan,2001,41.5
Pakistan,1991,54.5
Panama,1997,21.5
Papua New Guinea,1983,50.2
Paraguay,1990,18.3
Peru,2000,31.3
Peru,1996,31.6
Peru,1992,37.3
Philippines,2003,33.8
Republic of Moldova,2005,11.3
Romania,2002,12.8
Romania,2001,14
Romania,2000,12.8
Romania,1999,15.3
Rwanda,2005,51.7
Rwanda,2000,48.3
Rwanda,1992,56.8
Sao Tome and Principe,2000,35.2
Senegal,2005,20.1
Senegal,2000,29.5
Senegal,1993,33.7
Senegal,1986,27.9
Serbia,2006,8.1
Sierra Leone,2005,46.9
Sierra Leone,2000,38.4
Singapore,2000,4.4
Singapore,1977,10.7
Solomon Islands,1989,33.7
Solomon Islands,1970,31.3
Somalia,2006,42.1
Sri Lanka,2000,18.4
Sri Lanka,1987,31.2
Sudan,2000,47.6
Suriname,2000,14.5
Swaziland,2007,29.5
Swaziland,2000,36.6
Syrian Arab Republic,2006,28.6
Syrian Arab Republic,2001,28.6
Tajikistan,2005,33.1
Thailand,2006,15.7
Thailand,1987,25.3
The former Yugoslav Republic of Macedonia,2005,11.5
The former Yugoslav Republic of Macedonia,2004,1.2
The former Yugoslav Republic of Macedonia,1999,8
Timor-Leste,2002,55.7
Togo,2006,27.8
Togo,1998,29.8
Togo,1988,36.6
Trinidad and Tobago,2000,5.3
Trinidad and Tobago,1987,5.7
Tunisia,1988,20.3
Tunisia,1975,41.8
Turkey,2004,15.6
Turkey,1998,19.1
Turkey,1993,24.1
Uganda,2006,38.7
Uganda,2001,44.8
Uganda,1995,45
Uganda,1989,47.6
Ukraine,2000,22.9
United Republic of Tanzania,2005,44.4
United Republic of Tanzania,1999,48.3
United Republic of Tanzania,1996,49.7
United Republic of Tanzania,1992,49.7
United States of America,2004,3.9
United States of America,2002,3.3
United States of America,1994,3.2
Uruguay,2004,13.9
Uruguay,2002,14.7
Uzbekistan,2006,19.6
Uzbekistan,2002,25.3
Uzbekistan,1996,39
Viet Nam,2006,35.8
Viet Nam,2000,43.4
Viet Nam,1993,61.4
Yemen,1997,59.3
Zambia,2002,52.5
Zambia,1997,48.6
Zambia,1992,46.4
Zimbabwe,2006,35.8
Zimbabwe,1999,33.7
Zimbabwe,1994,28.9
Zimbabwe,1988,31
